iter	Passed	Remaining
0	246	24381
1	371	18182
2	498	16119
3	612	14697
4	748	14221
5	868	13605
6	996	13241
7	1151	13237
8	1333	13485
9	1492	13433
10	1624	13144
11	1858	13632
12	2057	13770
13	2259	13880
14	2444	13851
15	2622	13767
16	2787	13608
17	2947	13426
18	3295	14049
19	3471	13886
20	3601	13548
21	3725	13208
22	3884	13005
23	4029	12761
24	4179	12537
25	4313	12276
26	4452	12037
27	4587	11795
28	4723	11565
29	4859	11338
30	4997	11124
31	5148	10941
32	5289	10738
33	5408	10498
34	5537	10283
35	5689	10114
36	5824	9916
37	5940	9692
38	6068	9491
39	6208	9312
40	6333	9114
41	6489	8961
42	6639	8801
43	6805	8661
44	6994	8549
45	7149	8393
46	7283	8213
47	7435	8055
48	7593	7903
49	7745	7745
50	7942	7630
51	8126	7500
52	8264	7329
53	8412	7166
54	8543	6989
55	8658	6803
56	8748	6599
57	8830	6394
58	8919	6198
59	8998	5998
60	9088	5810
61	9211	5645
62	9322	5475
63	9423	5300
64	9657	5199
65	9813	5055
66	9974	4912
67	10109	4757
68	10255	4607
69	10386	4451
70	10510	4292
71	10625	4132
72	10741	3972
73	10860	3815
74	10977	3659
75	11105	3506
76	11229	3354
77	11334	3197
78	11445	3042
79	11578	2894
80	11685	2741
81	11805	2591
82	11925	2442
83	12032	2291
84	12124	2139
85	12228	1990
86	12347	1845
87	12469	1700
88	12589	1555
89	12680	1408
90	12774	1263
91	12861	1118
92	12952	974
93	13038	832
94	13126	690
95	13212	550
96	13304	411
97	13382	273
98	13468	136
99	13538	0
